retriever,recall@10,mrr,ndcg@10
dense,0.45363333333333333,0.5203000000000001,0.4366666666666667
hybrid,0.4342,0.5127666666666667,0.4223666666666667
bm25,0.34593333333333337,0.42160000000000003,0.3389666666666667
