axis,value,chunk_size,top_k,alpha,retriever,dataset,recall_at_10,mrr,ndcg_at_10
alpha,0.0,256,10,0.0,hybrid,scifact,0.7703333333333333,0.603850529100529,0.6360281641055829
alpha,0.25,256,10,0.25,hybrid,scifact,0.7703333333333333,0.603850529100529,0.6360281641055829
alpha,0.5,256,10,0.5,hybrid,scifact,0.7703333333333333,0.603850529100529,0.6360281641055829
alpha,0.75,256,10,0.75,hybrid,scifact,0.7703333333333333,0.603850529100529,0.6360281641055829
alpha,1.0,256,10,1.0,hybrid,scifact,0.0,0.0,0.0
top_k,5.0,256,5,0.5,hybrid,scifact,0.7047777777777778,0.5955555555555555,0.6136452857194952
top_k,10.0,256,10,0.5,hybrid,scifact,0.7703333333333333,0.603850529100529,0.6360281641055829
top_k,15.0,256,15,0.5,hybrid,scifact,0.7778333333333333,0.6061321918821918,0.6383314134188652
top_k,20.0,256,20,0.5,hybrid,scifact,0.7778333333333333,0.60725882586912,0.6383314134188652
